antecedents,consequents,support,confidence,lift
"Product 23, Product 82","Product 30, Product 57, Product 6",0.01,1.0,100.0
"Product 57, Product 82","Product 23, Product 30, Product 6",0.01,1.0,100.0
"Product 13, Product 4","Product 100, Product 81",0.01,1.0,100.0
"Product 4, Product 81","Product 100, Product 13",0.01,1.0,100.0
"Product 30, Product 82","Product 23, Product 57, Product 6",0.01,1.0,100.0
"Product 23, Product 6","Product 30, Product 57, Product 82",0.01,1.0,100.0
"Product 57, Product 6","Product 23, Product 30, Product 82",0.01,1.0,100.0
"Product 58, Product 84","Product 33, Product 78, Product 87",0.01,1.0,100.0
"Product 33, Product 58, Product 78","Product 84, Product 87",0.01,1.0,100.0
"Product 33, Product 78, Product 87","Product 58, Product 84",0.01,1.0,100.0
Product 50,"Product 100, Product 92, Product 97",0.01,1.0,100.0
"Product 100, Product 92","Product 50, Product 97",0.01,1.0,100.0
"Product 100, Product 97","Product 50, Product 92",0.01,1.0,100.0
"Product 49, Product 62, Product 79","Product 28, Product 68",0.01,1.0,100.0
"Product 49, Product 62, Product 68","Product 28, Product 79",0.01,1.0,100.0
"Product 62, Product 68, Product 79","Product 28, Product 49",0.01,1.0,100.0
"Product 28, Product 49","Product 62, Product 68, Product 79",0.01,1.0,100.0
"Product 38, Product 92","Product 50, Product 97",0.01,1.0,100.0
"Product 84, Product 87","Product 33, Product 58, Product 78",0.01,1.0,100.0
"Product 78, Product 84","Product 33, Product 58, Product 87",0.01,1.0,100.0
"Product 33, Product 58","Product 78, Product 84, Product 87",0.01,1.0,100.0
"Product 100, Product 50","Product 92, Product 97",0.01,1.0,100.0
"Product 92, Product 97","Product 100, Product 50",0.01,1.0,100.0
"Product 38, Product 97","Product 100, Product 92",0.01,1.0,100.0
Product 50,"Product 38, Product 92, Product 97",0.01,1.0,100.0
"Product 92, Product 97","Product 38, Product 50",0.01,1.0,100.0
"Product 50, Product 92","Product 38, Product 97",0.01,1.0,100.0
"Product 100, Product 92, Product 97",Product 50,0.01,1.0,100.0
"Product 15, Product 94","Product 42, Product 71",0.01,1.0,100.0
"Product 42, Product 71","Product 15, Product 94",0.01,1.0,100.0
"Product 49, Product 68","Product 28, Product 62, Product 79",0.01,1.0,100.0
"Product 62, Product 79","Product 28, Product 49, Product 68",0.01,1.0,100.0
"Product 62, Product 68","Product 28, Product 49, Product 79",0.01,1.0,100.0
"Product 18, Product 31, Product 62","Product 42, Product 90",0.01,1.0,100.0
"Product 31, Product 62, Product 90","Product 18, Product 42",0.01,1.0,100.0
"Product 31, Product 42, Product 62","Product 18, Product 90",0.01,1.0,100.0
"Product 18, Product 42, Product 90","Product 31, Product 62",0.01,1.0,100.0
"Product 18, Product 31, Product 90","Product 42, Product 62",0.01,1.0,100.0
"Product 28, Product 49, Product 62","Product 68, Product 79",0.01,1.0,100.0
"Product 28, Product 49, Product 79","Product 62, Product 68",0.01,1.0,100.0
"Product 28, Product 49, Product 68","Product 62, Product 79",0.01,1.0,100.0
"Product 28, Product 62, Product 79","Product 49, Product 68",0.01,1.0,100.0
"Product 28, Product 62, Product 68","Product 49, Product 79",0.01,1.0,100.0
"Product 31, Product 42, Product 90","Product 18, Product 62",0.01,1.0,100.0
"Product 18, Product 62","Product 31, Product 42, Product 90",0.01,1.0,100.0
"Product 62, Product 90","Product 18, Product 31, Product 42",0.01,1.0,100.0
"Product 42, Product 62","Product 18, Product 31, Product 90",0.01,1.0,100.0
"Product 31, Product 62","Product 18, Product 42, Product 90",0.01,1.0,100.0
"Product 18, Product 90","Product 31, Product 42, Product 62",0.01,1.0,100.0
"Product 18, Product 42","Product 31, Product 62, Product 90",0.01,1.0,100.0
"Product 42, Product 90","Product 18, Product 31, Product 62",0.01,1.0,100.0
"Product 31, Product 90","Product 18, Product 42, Product 62",0.01,1.0,100.0
"Product 31, Product 42","Product 18, Product 62, Product 90",0.01,1.0,100.0
"Product 28, Product 79","Product 49, Product 62, Product 68",0.01,1.0,100.0
"Product 28, Product 68","Product 49, Product 62, Product 79",0.01,1.0,100.0
"Product 49, Product 79","Product 28, Product 62, Product 68",0.01,1.0,100.0
"Product 24, Product 58","Product 44, Product 86",0.01,1.0,100.0
"Product 24, Product 44","Product 58, Product 86",0.01,1.0,100.0
"Product 58, Product 86","Product 24, Product 44",0.01,1.0,100.0
"Product 44, Product 86","Product 24, Product 58",0.01,1.0,100.0
"Product 44, Product 58","Product 24, Product 86",0.01,1.0,100.0
"Product 100, Product 13","Product 60, Product 81",0.01,1.0,100.0
"Product 100, Product 81","Product 13, Product 60",0.01,1.0,100.0
"Product 100, Product 60","Product 13, Product 81",0.01,1.0,100.0
"Product 13, Product 81","Product 100, Product 60",0.01,1.0,100.0
"Product 16, Product 28, Product 43","Product 55, Product 62",0.01,1.0,100.0
"Product 18, Product 31, Product 42","Product 62, Product 90",0.01,1.0,100.0
"Product 15, Product 42","Product 71, Product 94",0.01,1.0,100.0
"Product 11, Product 8","Product 19, Product 62",0.01,1.0,100.0
"Product 11, Product 19","Product 62, Product 8",0.01,1.0,100.0
"Product 11, Product 62","Product 19, Product 8",0.01,1.0,100.0
"Product 19, Product 8","Product 11, Product 62",0.01,1.0,100.0
"Product 50, Product 97","Product 38, Product 92",0.01,1.0,100.0
"Product 38, Product 97","Product 50, Product 92",0.01,1.0,100.0
"Product 38, Product 50","Product 92, Product 97",0.01,1.0,100.0
"Product 38, Product 92, Product 97",Product 50,0.01,1.0,100.0
"Product 71, Product 94","Product 15, Product 42",0.01,1.0,100.0
"Product 100, Product 38, Product 97",Product 50,0.01,1.0,100.0
"Product 16, Product 55, Product 62","Product 28, Product 43",0.01,1.0,100.0
"Product 43, Product 55, Product 62","Product 16, Product 28",0.01,1.0,100.0
"Product 18, Product 62, Product 90","Product 31, Product 42",0.01,1.0,100.0
"Product 18, Product 42, Product 62","Product 31, Product 90",0.01,1.0,100.0
"Product 24, Product 86","Product 44, Product 58",0.01,1.0,100.0
Product 50,"Product 100, Product 38, Product 92",0.01,1.0,100.0
"Product 100, Product 92","Product 38, Product 97",0.01,1.0,100.0
"Product 100, Product 97","Product 38, Product 92",0.01,1.0,100.0
"Product 100, Product 38","Product 92, Product 97",0.01,1.0,100.0
"Product 92, Product 97","Product 100, Product 38",0.01,1.0,100.0
"Product 38, Product 92","Product 100, Product 97",0.01,1.0,100.0
"Product 50, Product 92","Product 100, Product 97",0.01,1.0,100.0
"Product 50, Product 97","Product 100, Product 92",0.01,1.0,100.0
"Product 33, Product 65","Product 87, Product 91",0.01,1.0,100.0
"Product 65, Product 87","Product 33, Product 91",0.01,1.0,100.0
"Product 28, Product 65","Product 1, Product 12",0.01,1.0,100.0
"Product 12, Product 28","Product 1, Product 65",0.01,1.0,100.0
"Product 16, Product 43","Product 28, Product 55, Product 62",0.01,1.0,100.0
"Product 16, Product 55","Product 28, Product 43, Product 62",0.01,1.0,100.0
"Product 43, Product 62","Product 16, Product 28, Product 55",0.01,1.0,100.0
"Product 55, Product 62","Product 16, Product 28, Product 43",0.01,1.0,100.0
"Product 43, Product 55","Product 16, Product 28, Product 62",0.01,1.0,100.0
"Product 16, Product 28, Product 62","Product 43, Product 55",0.01,1.0,100.0
"Product 35, Product 7, Product 84","Product 12, Product 33",0.01,1.0,100.0
"Product 12, Product 33, Product 35","Product 7, Product 84",0.01,1.0,100.0
"Product 33, Product 35, Product 7","Product 12, Product 84",0.01,1.0,100.0
"Product 16, Product 28, Product 55","Product 43, Product 62",0.01,1.0,100.0
"Product 28, Product 43, Product 62","Product 16, Product 55",0.01,1.0,100.0
"Product 28, Product 55, Product 62","Product 16, Product 43",0.01,1.0,100.0
"Product 16, Product 43, Product 62","Product 28, Product 55",0.01,1.0,100.0
"Product 35, Product 84","Product 12, Product 33, Product 7",0.01,1.0,100.0
"Product 33, Product 35","Product 12, Product 7, Product 84",0.01,1.0,100.0
"Product 12, Product 35","Product 33, Product 7, Product 84",0.01,1.0,100.0
"Product 16, Product 28","Product 43, Product 55, Product 62",0.01,1.0,100.0
"Product 28, Product 43","Product 16, Product 55, Product 62",0.01,1.0,100.0
"Product 28, Product 55","Product 16, Product 43, Product 62",0.01,1.0,100.0
"Product 1, Product 28","Product 12, Product 65",0.01,1.0,100.0
"Product 62, Product 8","Product 11, Product 19",0.01,1.0,100.0
"Product 19, Product 62","Product 11, Product 8",0.01,1.0,100.0
"Product 56, Product 91","Product 65, Product 87",0.01,1.0,100.0
"Product 87, Product 91","Product 56, Product 65",0.01,1.0,100.0
"Product 56, Product 65","Product 87, Product 91",0.01,1.0,100.0
"Product 65, Product 87","Product 56, Product 91",0.01,1.0,100.0
Product 74,"Product 24, Product 78, Product 95",0.01,1.0,100.0
"Product 24, Product 95","Product 74, Product 78",0.01,1.0,100.0
"Product 24, Product 74","Product 78, Product 95",0.01,1.0,100.0
"Product 33, Product 35, Product 84","Product 12, Product 7",0.01,1.0,100.0
"Product 12, Product 35, Product 84","Product 33, Product 7",0.01,1.0,100.0
"Product 19, Product 79","Product 14, Product 76, Product 93",0.01,1.0,100.0
"Product 79, Product 93","Product 14, Product 19, Product 76",0.01,1.0,100.0
"Product 14, Product 19, Product 76","Product 79, Product 93",0.01,1.0,100.0
"Product 14, Product 76, Product 93","Product 19, Product 79",0.01,1.0,100.0
"Product 14, Product 76, Product 79","Product 19, Product 93",0.01,1.0,100.0
"Product 14, Product 19, Product 93","Product 76, Product 79",0.01,1.0,100.0
"Product 14, Product 19, Product 79","Product 76, Product 93",0.01,1.0,100.0
"Product 14, Product 79, Product 93","Product 19, Product 76",0.01,1.0,100.0
"Product 33, Product 7, Product 84","Product 12, Product 35",0.01,1.0,100.0
"Product 12, Product 7, Product 84","Product 33, Product 35",0.01,1.0,100.0
"Product 12, Product 33, Product 7","Product 35, Product 84",0.01,1.0,100.0
"Product 3, Product 35, Product 49","Product 56, Product 75",0.01,1.0,100.0
"Product 3, Product 35, Product 75","Product 49, Product 56",0.01,1.0,100.0
"Product 14, Product 76","Product 19, Product 79, Product 93",0.01,1.0,100.0
"Product 14, Product 19","Product 76, Product 79, Product 93",0.01,1.0,100.0
"Product 14, Product 93","Product 19, Product 76, Product 79",0.01,1.0,100.0
"Product 14, Product 79","Product 19, Product 76, Product 93",0.01,1.0,100.0
"Product 12, Product 84","Product 33, Product 35, Product 7",0.01,1.0,100.0
"Product 7, Product 84","Product 12, Product 33, Product 35",0.01,1.0,100.0
"Product 12, Product 33","Product 35, Product 7, Product 84",0.01,1.0,100.0
"Product 33, Product 7","Product 12, Product 35, Product 84",0.01,1.0,100.0
"Product 12, Product 7","Product 33, Product 35, Product 84",0.01,1.0,100.0
"Product 24, Product 78","Product 74, Product 95",0.01,1.0,100.0
"Product 56, Product 87","Product 33, Product 65",0.01,1.0,100.0
"Product 65, Product 87","Product 33, Product 56",0.01,1.0,100.0
"Product 33, Product 91","Product 65, Product 87",0.01,1.0,100.0
"Product 87, Product 91","Product 33, Product 65",0.01,1.0,100.0
"Product 33, Product 91","Product 56, Product 87",0.01,1.0,100.0
"Product 87, Product 91","Product 33, Product 56",0.01,1.0,100.0
"Product 33, Product 56","Product 87, Product 91",0.01,1.0,100.0
"Product 60, Product 81","Product 100, Product 13",0.01,1.0,100.0
"Product 100, Product 13","Product 4, Product 81",0.01,1.0,100.0
"Product 100, Product 81","Product 13, Product 4",0.01,1.0,100.0
"Product 100, Product 4","Product 13, Product 81",0.01,1.0,100.0
"Product 100, Product 81","Product 4, Product 60",0.01,1.0,100.0
"Product 100, Product 4","Product 60, Product 81",0.01,1.0,100.0
"Product 56, Product 75","Product 3, Product 35, Product 49",0.01,1.0,100.0
"Product 19, Product 76, Product 93","Product 14, Product 79",0.01,1.0,100.0
"Product 19, Product 76, Product 79","Product 14, Product 93",0.01,1.0,100.0
"Product 76, Product 79, Product 93","Product 14, Product 19",0.01,1.0,100.0
"Product 19, Product 79, Product 93","Product 14, Product 76",0.01,1.0,100.0
"Product 56, Product 87","Product 33, Product 91",0.01,1.0,100.0
"Product 33, Product 91","Product 56, Product 65",0.01,1.0,100.0
"Product 56, Product 91","Product 33, Product 65",0.01,1.0,100.0
"Product 33, Product 65","Product 56, Product 91",0.01,1.0,100.0
"Product 12, Product 65","Product 1, Product 28",0.01,1.0,100.0
"Product 1, Product 65","Product 12, Product 28",0.01,1.0,100.0
"Product 1, Product 12","Product 28, Product 65",0.01,1.0,100.0
"Product 56, Product 65","Product 33, Product 91",0.01,1.0,100.0
"Product 33, Product 56","Product 65, Product 87",0.01,1.0,100.0
"Product 3, Product 35","Product 49, Product 56, Product 75",0.01,1.0,100.0
"Product 3, Product 75","Product 35, Product 49, Product 56",0.01,1.0,100.0
"Product 35, Product 49, Product 56","Product 3, Product 75",0.01,1.0,100.0
"Product 49, Product 56, Product 75","Product 3, Product 35",0.01,1.0,100.0
"Product 3, Product 49, Product 56","Product 35, Product 75",0.01,1.0,100.0
"Product 35, Product 56, Product 75","Product 3, Product 49",0.01,1.0,100.0
"Product 3, Product 35, Product 56","Product 49, Product 75",0.01,1.0,100.0
"Product 3, Product 56, Product 75","Product 35, Product 49",0.01,1.0,100.0
"Product 35, Product 49, Product 75","Product 3, Product 56",0.01,1.0,100.0
"Product 24, Product 44, Product 86","Product 58, Product 93",0.01,1.0,100.0
"Product 24, Product 44, Product 58","Product 86, Product 93",0.01,1.0,100.0
"Product 19, Product 76","Product 14, Product 79, Product 93",0.01,1.0,100.0
"Product 76, Product 93","Product 14, Product 19, Product 79",0.01,1.0,100.0
"Product 76, Product 79","Product 14, Product 19, Product 93",0.01,1.0,100.0
"Product 19, Product 93","Product 14, Product 76, Product 79",0.01,1.0,100.0
"Product 13, Product 60","Product 100, Product 81",0.01,1.0,100.0
"Product 49, Product 56","Product 3, Product 35, Product 75",0.01,1.0,100.0
"Product 44, Product 93","Product 24, Product 58, Product 86",0.01,1.0,100.0
"Product 24, Product 44","Product 58, Product 86, Product 93",0.01,1.0,100.0
"Product 44, Product 86","Product 24, Product 58, Product 93",0.01,1.0,100.0
"Product 44, Product 58","Product 24, Product 86, Product 93",0.01,1.0,100.0
"Product 24, Product 93","Product 44, Product 58, Product 86",0.01,1.0,100.0
"Product 86, Product 93","Product 24, Product 44, Product 58",0.01,1.0,100.0
"Product 3, Product 56","Product 35, Product 49, Product 75",0.01,1.0,100.0
"Product 35, Product 49","Product 3, Product 56, Product 75",0.01,1.0,100.0
"Product 49, Product 75","Product 3, Product 35, Product 56",0.01,1.0,100.0
"Product 3, Product 49","Product 35, Product 56, Product 75",0.01,1.0,100.0
"Product 35, Product 75","Product 3, Product 49, Product 56",0.01,1.0,100.0
"Product 44, Product 86, Product 93","Product 24, Product 58",0.01,1.0,100.0
"Product 44, Product 58, Product 93","Product 24, Product 86",0.01,1.0,100.0
"Product 100, Product 60","Product 13, Product 4, Product 81",0.01,1.0,100.0
"Product 13, Product 60","Product 100, Product 4, Product 81",0.01,1.0,100.0
"Product 100, Product 4, Product 81","Product 13, Product 60",0.01,1.0,100.0
"Product 13, Product 4, Product 81","Product 100, Product 60",0.01,1.0,100.0
"Product 4, Product 60, Product 81","Product 100, Product 13",0.01,1.0,100.0
"Product 100, Product 13, Product 81","Product 4, Product 60",0.01,1.0,100.0
"Product 100, Product 60, Product 81","Product 13, Product 4",0.01,1.0,100.0
"Product 13, Product 60, Product 81","Product 100, Product 4",0.01,1.0,100.0
"Product 100, Product 13, Product 4","Product 60, Product 81",0.01,1.0,100.0
"Product 44, Product 58, Product 86","Product 24, Product 93",0.01,1.0,100.0
"Product 24, Product 86, Product 93","Product 44, Product 58",0.01,1.0,100.0
"Product 24, Product 58, Product 93","Product 44, Product 86",0.01,1.0,100.0
"Product 58, Product 86, Product 93","Product 24, Product 44",0.01,1.0,100.0
"Product 24, Product 58, Product 86","Product 44, Product 93",0.01,1.0,100.0
"Product 4, Product 81","Product 100, Product 13, Product 60",0.01,1.0,100.0
"Product 100, Product 81","Product 13, Product 4, Product 60",0.01,1.0,100.0
"Product 13, Product 81","Product 100, Product 4, Product 60",0.01,1.0,100.0
"Product 60, Product 81","Product 100, Product 13, Product 4",0.01,1.0,100.0
"Product 100, Product 4","Product 13, Product 60, Product 81",0.01,1.0,100.0
"Product 13, Product 4","Product 100, Product 60, Product 81",0.01,1.0,100.0
"Product 58, Product 93","Product 24, Product 44, Product 86",0.01,1.0,100.0
"Product 24, Product 86","Product 44, Product 58, Product 93",0.01,1.0,100.0
"Product 24, Product 58","Product 44, Product 86, Product 93",0.01,1.0,100.0
"Product 58, Product 86","Product 24, Product 44, Product 93",0.01,1.0,100.0
"Product 24, Product 44, Product 93","Product 58, Product 86",0.01,1.0,100.0
"Product 33, Product 65","Product 56, Product 87",0.01,1.0,100.0
"Product 36, Product 92","Product 19, Product 87",0.01,1.0,100.0
"Product 19, Product 36","Product 87, Product 92",0.01,1.0,100.0
"Product 36, Product 87","Product 19, Product 92",0.01,1.0,100.0
"Product 19, Product 92","Product 36, Product 87",0.01,1.0,100.0
"Product 87, Product 92","Product 19, Product 36",0.01,1.0,100.0
"Product 38, Product 50","Product 100, Product 97",0.01,1.0,100.0
"Product 19, Product 87","Product 36, Product 92",0.01,1.0,100.0
"Product 4, Product 60","Product 100, Product 81",0.01,1.0,100.0
"Product 4, Product 60","Product 13, Product 81",0.01,1.0,100.0
"Product 100, Product 13","Product 4, Product 60",0.01,1.0,100.0
"Product 100, Product 4","Product 13, Product 60",0.01,1.0,100.0
"Product 70, Product 88","Product 27, Product 7, Product 81",0.01,1.0,100.0
"Product 7, Product 88","Product 27, Product 70, Product 81",0.01,1.0,100.0
"Product 7, Product 70","Product 27, Product 81, Product 88",0.01,1.0,100.0
"Product 27, Product 81, Product 88","Product 7, Product 70",0.01,1.0,100.0
"Product 100, Product 4, Product 60","Product 13, Product 81",0.01,1.0,100.0
"Product 13, Product 4, Product 60","Product 100, Product 81",0.01,1.0,100.0
"Product 100, Product 13, Product 60","Product 4, Product 81",0.01,1.0,100.0
"Product 70, Product 81, Product 88","Product 27, Product 7",0.01,1.0,100.0
"Product 7, Product 81, Product 88","Product 27, Product 70",0.01,1.0,100.0
"Product 7, Product 70, Product 81","Product 27, Product 88",0.01,1.0,100.0
"Product 7, Product 70, Product 88","Product 27, Product 81",0.01,1.0,100.0
"Product 55, Product 64, Product 86","Product 77, Product 96",0.01,1.0,100.0
"Product 55, Product 86, Product 96","Product 64, Product 77",0.01,1.0,100.0
"Product 4, Product 60","Product 100, Product 13, Product 81",0.01,1.0,100.0
"Product 100, Product 13","Product 4, Product 60, Product 81",0.01,1.0,100.0
"Product 100, Product 60","Product 4, Product 81",0.01,1.0,100.0
"Product 4, Product 81","Product 100, Product 60",0.01,1.0,100.0
